Date,Day Code,Time,Event Code,Event,Round/Heat,Class,Format,Style,Duration,Location,GM,Change Date,BGG_ID,BGG_Name,BGG_Rank,BGG_Rating
First Friday,,,,,,,,,,,,,,,,
7/26/26,FSu,11,VGQ,Virgin Queen,Heat 1/2,B,HMW-P,Scheduled,6,Wagner's Run,"Beach, Ed",,41066.0,Virgin Queen,1172.0,7.97122
7/26/26,FSu,12,DOM,Dominion,Demo 1/1,--,--,---,1,Exhibit Hall Annex #2,"Bielefeldt, Russ",,36218.0,Dominion,145.0,7.5977
7/26/26,FSu,12,ELG,El Grande,Demo 1/1,--,--,---,1,Exhibit Hall Annex #5,"Flowers, Rob",,93.0,El Grande,102.0,7.77116
7/26/26,FSu,12,AZL,Azul,Heat 1/3,B,HMW-P,Scheduled,1,Grand Ballroom,"Speaker, Eric",,230802.0,Azul,99.0,7.71442
7/26/26,FSu,12,CAR,Carcassonne,Round 4/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",,822.0,Carcassonne,238.0,7.41641
7/26/26,FSu,13,BXC,Boxcars,Heat 1/3,B,HMW-P,Scheduled,4,Fox Den,"Bromley, Trella",,24225.0,Boxcars,10737.0,6.46012
7/26/26,FSu,13,CAR,Carcassonne,Round 5/6,B,SE,Continuous,1,Seasons,"Hammond, Kevin",,822.0,Carcassonne,238.0,7.41641
7/26/26,FSu,13,C&K,Catan: Cities & Knights,Heat 2/2,B,HMW-P,Scheduled,3,Seasons,"Gnech, Chris",,926.0,Catan: Cities & Knights,0.0,7.45191
7/26/26,FSu,13,ELG,El Grande,Heat 1/3,B,HMW-P,Scheduled,2,Grand Ballroom,"Flowers, Rob",,93.0,El Grande,102.0,7.77116
7/26/26,FSu,13,EVD,Everdell,Heat 1/2,B,HMW-P,Scheduled,2,Fox Den,"Martin, Andrew",,199792.0,Everdell,43.0,7.98033
